[2017-06-16 15:25:46]   select * from interf where TDATETIME >='2014-01-01-' and TDATETIME <='2014-05-01'
[2017-06-19 15:27:29]   select * from interf where CAST(TDATETIME as Date) >='2010-01-01' and CAST(TDATETIME as Date) <='2010-12-31' order by TDATETIME desc
[2017-06-19 15:28:36]   select * from interf where CAST(TDATETIME as Date) >='2010-01-01' and CAST(TDATETIME as Date) <='2010-12-31' order by TDATETIME desc
[2017-06-19 15:44:29]   select * from interf where CAST(TDATETIME as Datetime) >='YYYY-MM-DD' and CAST(TDATETIME as Datetime) <='YYYY-MM-DD' and VHPRNO ='2307826' order by TDATETIME desc
[2017-08-30 11:55:30]   select row_number() over (order by Quality desc) as ID from resultsn
[2017-10-05 13:13:36]   select name,xtype,refdate from sysobjects where xtype = 'U'
[2017-10-05 13:19:50]   select * from MC_ALARM where ALARM_TIME = '16.03.2005'
[2017-10-05 14:24:51]   select name,xtype,refdate from sysobjects where xtype = 'U'
[2017-10-13 14:29:39]   select name,xtype,refdate from sysobjects where xtype = 'U'
[2017-10-13 14:31:34]   select * from
[2017-10-13 14:33:00]   select * from interf
[2017-10-13 14:33:09]   select name,xtype,refdate from sysobjects where xtype = 'U'
[2017-10-13 14:33:26]   select name,xtype,refdate from sysobjects where xtype = 'U'
